rating,timestamp,helpful_vote,verified_purchase,review,polarity,subjectivity
5,2020-03-21 13:39:10.320,0,True,taste great excellent,0.900000,0.875000
1,2021-10-24 18:08:55.674,1,True,deliver open package package open delivery bottle br />im return item simply scared use br />who know,0.000000,0.452381
5,2012-03-07 23:58:18.000,16,True,highly recommend xymogen igg 2000 df year beneficial especially adrenal gland shoot help low immune system chronically ill especially flu season cold people cough autoimmune disease help tremendously highly recommend product worth money health,-0.060000,0.685000
5,2018-02-25 15:59:31.997,0,True,stars love heating pad bunching ill fitting cover heat quick satisfied,0.266667,0.720000
3,2014-10-15 17:34:36.000,0,True,star good,0.700000,0.600000
5,2014-10-12 14:02:26.000,6,True,... test scale accuracy satisfied test scale accuracy satisfied size 13 shoe large platform appreciated.<br />the bonus measure tape nice touch,0.453571,0.857143
4,2017-02-04 11:11:34.000,0,True,stars receive item describe time,0.000000,0.000000
2,2019-07-04 03:56:00.255,0,True,good super cute work perfectly daughter use week break curl lash beautifully wish quality,0.676667,0.853333
5,2016-10-12 01:49:31.000,0,False,work pain relief gel meet expectation pain relief joint pain work hour stain clothing wish come roll recommend muscle joint pain,0.000000,0.000000
5,2016-03-11 14:28:39.000,0,True,wow help relive major cronic pain issue highly recommend product product arrive day pleasenty surprise relief pain use cronic pain sufferer bulge disk low neck spear shoulder little big think defenetly easy light weight massager carry problem head include use figure use self angel use pop weather shirt use person angel right head stay use time day problem hot use 20 minute length time plug bed husband joke private masseuse enjoy use different speed intense deep rub bad spot highly recomend product suffer type pain help tremedously tell friend thank great massager,0.131336,0.593929
4,2020-06-01 20:25:39.714,0,True,great item great home use like salon,0.800000,0.750000
5,2018-07-23 15:24:31.092,0,False,product work great use smart nora year work great wife tell problem air bladder seam let service dept problem send replacement great product great service,0.682857,0.728571
5,2020-07-16 14:14:03.971,0,True,clean good degreaser coffee cleaner use,0.533333,0.650000
4,2016-08-13 04:09:14.000,0,True,star price,0.000000,0.000000
5,2019-05-10 11:34:59.857,0,True,soooo cute perfect addition granddaughter room,0.750000,1.000000
5,2015-07-02 00:29:57.000,0,True,star great,0.800000,0.750000
1,2014-12-31 20:42:08.000,0,True,work buy gift work,0.000000,0.000000
5,2021-09-22 17:45:32.976,0,True,outstanding ingredient love ingredient kinderlyte provide product taste super thick like brand common highly recommend,0.148889,0.609444
5,2013-04-17 18:24:41.000,2,True,perfect disagree lot reviewer find appropriate size plenty think people tend wasteful like idea right,0.595238,0.678571
5,2014-07-07 17:10:15.000,0,False,star 100 satisfaction,0.000000,0.000000
5,2019-03-16 13:26:02.391,0,True,insect repellant work pretty good 100 good protection,0.550000,0.733333
4,2019-05-31 13:48:26.935,0,True,great great purchase,0.800000,0.750000
4,2016-01-28 11:34:31.000,1,True,good deal good deal,0.700000,0.600000
3,2020-03-06 12:45:15.741,0,False,work recovery taste good play lot competitive tennis grueling match weekend fatigue finally home drink 1/4 bottle vital performance recovery drink rest refrigerator week later bottle untouched feel drink drink taste good think remainder bottle match drink match help energy level like idea recovery drink need palatable,0.300000,0.520000
1,2019-12-23 17:03:13.425,0,True,exactly review photo think work perfect remove molding 2014 vehicle use magic eraser rid adhesive use stuff remove rest work,0.583333,0.750000
1,2016-06-28 00:12:00.000,1,True,stay turn ... stay turn stroke use cold check light recommend product,-0.100000,0.850000
3,2020-06-22 16:06:18.710,0,True,low cost vape cotton bit extra flavor putting like review indicate absorbant easy work gripe flavor bit tainted boil cotton help absorbant taste vape wish buy pack bit resistant burning,0.144444,0.411111
5,2019-08-27 14:49:55.627,0,True,research pick travel partner buy people use flight idea product before.<br />product job flight hold leg foot let rest material soft expect definitly bring office boss mind,0.100000,0.350000
5,2019-09-23 15:56:01.563,1,True,work surprsingly work reduce volume noticeable effect sound barely hear people talk guest event people near actually talk time clearly hear music distortion drop overall volume background noise fall near threshold music sound manageable volume wise.<br /><br />it come silicone foam tip use silicone ease use want reduce volume use foam tip come small leather probably faux pouch zipper easy store pocket,0.133333,0.341667
1,2022-04-30 19:23:55.430,0,False,buy receive open box item definitely new try charge work turn send defective product return zero star,0.068182,0.477273
5,2017-02-05 03:27:01.000,0,True,satisfied complaint light weight work great,0.350000,0.662500
5,2019-12-24 04:00:44.554,0,True,love allergy med close love look,0.500000,0.600000
5,2020-07-10 13:36:44.074,0,True,stain remover carpet work application work remove stain,0.000000,0.000000
5,2021-10-01 13:01:19.881,0,True,good earplug world good earplug ultra confort great noise cancel .. finally great sleep,0.750000,0.675000
5,2020-04-20 14:22:57.080,0,True,excelente excelente,0.000000,0.000000
1,2020-12-30 00:42:59.567,0,True,washable search brand find seller note claim cover machine washable receive product accompany literature card machine washable spot clean try know washing actually cause damage normally word manufacturer seller case entity ergo lie lie low rating reflect dishonesty false advertising,0.023333,0.470000
5,2018-10-01 21:56:28.633,0,True,help lot tonsil tone recommend come extra battery small spray container sure guess add mouthwash water case use little tool tonsil stone,0.015625,0.472222
1,2014-01-09 01:25:09.000,4,True,misaligned parts prevent lamp assemble lamp arrive today day reviewer report exact assembly problem lamp shaft fully insert base mean hole base retain screw line screw shaft base lamp assemble fall base extra annoying time discover large pile junk box return.<br /><br />lesson sort review recent helpful,-0.384821,0.661607
4,2021-05-31 01:51:15.261,0,False,efficient love efficient is.<br />and quick.<br />but use caution end pain,0.500000,0.600000
4,2016-07-27 21:04:50.000,1,True,need buy machine terribly long far like product highly recommend volume kind high review mention apartment neighbor noisy like loud noise machine issue volume jump volume steady transition volume big leap noise level ... kinda frustrating need little louder white noise mainly use ocean wave nice seagull noise machine reason rain nice sound like pour water puddle opinion lullaby sure machine bit distance away think loud baby idk buy cheap machine mistake cheap stop work week,0.200833,0.631696
5,2021-07-31 21:34:40.048,0,True,great use cat stay away,0.800000,0.750000
4,2022-02-15 21:43:35.448,0,True,support comfortable wear size 14 order large fit supply support reminder stand straighter,0.338095,0.542857
5,2015-05-05 18:52:21.000,0,True,excellent product awesome use everyday 34;desk job&#34 love extra solid cushioning provide purchase,0.383333,0.566667
5,2018-08-13 19:03:48.664,0,True,beachy awesome color beach theme,1.000000,1.000000
5,2019-12-03 04:08:52.611,3,True,definitely worth buy work good electronic muff cost time,0.500000,0.350000
5,2017-06-04 14:18:04.000,0,False,star good,0.700000,0.600000
5,2021-10-02 19:45:42.297,0,True,work water mean rust thick hard remove film bathroom tubs sink shower toilet product try glad require scrub nice scent bathroom look awesome time definitely order soon,0.145312,0.650521
5,2021-04-10 20:24:20.711,4,True,authentic smell amazing love remind child grandmother spray house add mop water great memory,0.600000,0.750000
5,2022-01-09 12:15:31.722,0,True,taste great work use approximately week gum bad product gum feel use daily routine,-0.075000,0.504167
1,2021-03-17 20:30:43.962,0,True,roller device trash- save buy purchase use furniture remove pet hair roller device flimsy little pressure rolling release sticky tape roll bad design!the sticky paper perfectly fine pick hair etc ... sure product come apart use ... search,0.007292,0.638889
4,2016-11-06 03:37:38.000,4,True,save time avoid frustration great little gizmo little getting use thick finger help tremendously able line lense great time saver,0.237500,0.600000
5,2020-05-30 13:48:23.198,0,True,finally run pinch peroneal nerve squat position hour sand deck result temporary drop foot week lift foot little bit able run triathlete itch training buy brace hope run work perfectly nerve heal use brace 100,0.328125,0.781250
1,2017-10-24 20:33:32.650,1,True,star work,0.000000,0.000000
3,2017-03-10 03:33:26.000,2,True,ok start collection pill splitter mediocre potential pill need big small fit cavity split evenly time shatter piece wish work,0.025000,0.566667
5,2016-07-12 05:24:14.000,1,False,sensitive eye absolutely love stuff believe anymore solution able use solution sensitive eye turn eye red gooey mess judge review think manufacturer read review sensitive eye absolutely love stuff,0.203125,0.587500
5,2018-03-29 14:00:06.379,0,True,great product research curl iron order worth money like different size curl iron heat quickly need hot setting tip heat hold curl hair cord length great,0.413889,0.591667
3,2023-02-01 22:16:26.647,3,True,thick vaseline feel moisturising come super easily videoid:7ba370a9bd6490946628feb24fd3cf79,0.155556,0.658333
5,2019-02-20 21:32:54.019,0,True,cute ventilation daughter like face sweaty night.<br use realize wow cute,0.366667,1.000000
1,2011-01-15 14:00:50.000,2,True,unreliable alarm product neat feature unfortunately compel return simply unreliable lot operational feature button perform multiple function base program instruction useless finally figure program sleep feature wake sound brightness setting wake light important function wake light fail operate occasion unacceptable,-0.063636,0.605195
4,2016-02-26 06:21:13.000,9,True,like way skin feel use like way skin feel use hour later skin soft mention small expect reason product star piece come apart time use able slip piece slippery little thing finally slip hand tub floor end convenient attached piece use separately piece attach anymore,0.027083,0.479167
5,2022-01-11 22:22:31.861,0,True,excelente súper buena la traté todo los amigos la quisieron muy buena muy económica,0.000000,0.000000
5,2022-01-19 00:34:34.828,0,True,perfect pretty sturdy pretty,0.500000,1.000000
5,2020-02-13 04:40:12.463,0,True,great useful product use trip japan great product recommend 100,0.633333,0.500000
1,2014-07-02 15:16:56.000,0,True,star cheap thin actually hurt use,0.000000,0.550000
5,2020-07-12 21:25:37.882,0,True,ghost come rescue twin boy year old phase scare ghost tuck bed spray pillow fear sleep snell good,0.400000,0.400000
5,2018-04-07 23:31:47.541,0,True,choose product good omega breakdown neutral taste fishy choose product good omega breakdown serve,0.700000,0.600000
5,2020-11-02 01:48:04.381,0,True,pk gloves ok,0.500000,0.500000
5,2019-11-06 15:30:51.247,2,True,work improve posture little little like way gently pull shoulder little rub pad mean time ready come help posture remember work order wrap waist intense alternate,-0.034375,0.560937
5,2019-12-27 18:52:13.638,0,True,blew away price brush high performer,0.160000,0.540000
3,2022-04-15 19:22:14.690,0,True,big consider hair super thick thick long hair past waist hold hair little hard hair definitely medium hair length,-0.116204,0.434259
5,2014-02-09 16:46:22.000,0,True,crazy awesome love thing amaze come lol smoke literally disappear smell,0.425000,0.800000
1,2018-08-21 00:24:37.145,0,True,good reaction formula,0.700000,0.600000
3,2020-10-13 20:05:50.417,2,True,sale old product sure expire expire cause label 04 2017 10 13 2020 expire expect cash pay 49,0.300000,0.544444
2,2020-06-18 03:22:03.664,2,True,eson nasal cushion click headgear basically require pressure face headgear place,0.000000,0.000000
5,2018-06-12 02:03:38.506,0,True,star wife need check bp,0.000000,0.000000
3,2019-01-23 08:34:06.460,0,True,okay okay,0.500000,0.500000
5,2021-01-19 04:14:39.358,0,True,love sunglass sunglass fit love metal frame plastic break easily,0.458333,0.608333
5,2018-08-27 17:53:15.978,2,True,great supplement add like add protein shake and/or recovery drink mix notice fast recovery soreness,0.500000,0.675000
5,2020-08-10 19:52:40.796,3,True,stuff work energize body digestive system,0.000000,0.000000
1,2014-02-18 06:23:03.000,1,False,perfect product people hate want waste energy time ability holy hell thing suck needle unique construction need slightly different steel steel use consistency licorice thread include set like george orwell 1984 inferior quality throw pair cheap scissor redefine cheap package inside blister pack adeptly ignore question inventor ask yes woman allow thing market misery product haunt dreams.)<br /><br />what ask ... 34;do work&#34;?<br /><br />no work miserable buy think possibly value old people value thing demonstrate finally product need work sell need convincing image.<br /><br />i cheapen life write review use redeem needle miserable,0.026786,0.785714
5,2021-12-26 18:15:06.453,0,True,great great product great value,0.800000,0.750000
5,2021-03-13 18:43:12.650,0,True,try start use result,0.000000,0.000000
3,2020-08-21 15:32:18.706,1,True,potent great flavor use drop bottle like product use drop flavor strong,0.577778,0.661111
5,2022-08-24 20:43:38.939,0,True,sesame seed oil product magical leave skin hydrated recommend 100,0.500000,1.000000
4,2019-04-14 18:27:40.961,0,True,love case good ear plug shoot lot reduce noise small convenient case throw pocket work need unexpectedly,0.262500,0.650000
5,2019-05-16 19:54:00.126,21,True,daughter like acne teen ager way cheap acne cream,0.200000,0.350000
5,2015-08-03 23:51:50.000,0,True,bag perfect work bag perfect work fit need day lot love specific place pump-- bag breast pump pump feel durable love bright red color bold pattern,0.492593,0.576852
5,2017-09-14 19:34:37.733,0,True,star convenient,0.000000,0.000000
3,2021-05-18 15:25:07.325,0,True,poor quality flimsy fold come apart weight treat inside,-0.400000,0.600000
1,2020-01-31 20:07:59.222,0,True,deceive product china cheaply worth waste money suppose stop sell cheap product like china ... <br />i feel cheat,0.166667,0.266667
2,2014-09-05 06:54:54.000,4,False,reliable .. acupuncture practice reliable sound pretty loud time patient push work time reliable need base unit outside door hear clinic close patient bad need like,-0.125000,0.652778
5,2021-09-26 18:10:32.104,7,True,work foot day 4:30 a.m. p.m. short break bed leg feel like weigh ton feel need stretch toe calf muscle trigger terrible leg cramp jump bed stand relief happen middle night use tiny leg cramp pill bad sleep constantly interrupt lotion epsom salt time soak tub effect lotion interesting night try sleep night ... time leg cramp notice hour apply bed later leg feel lighter heaviness disappear calf feel wonderful chance deliberately stretch toe calf leg cramps night try lotion wonderful result order bottle amazed result suffer leg cramp heaviness year leg feel young maybe slather entire body wake feel like kid stuff wonderful,0.146154,0.563462
5,2020-07-29 23:27:15.680,0,True,great good price durable work look advertised,0.750000,0.675000
5,2018-01-10 18:51:28.426,0,True,like fit great sure use right size shoe,0.496429,0.643651
5,2020-01-19 21:45:59.957,0,True,comfortable comfortable work,0.400000,0.800000
1,2021-12-06 07:16:10.649,0,True,mix thick stuff super thick need half scoop glass thick,-0.146667,0.451667
5,2020-01-18 16:50:13.285,0,True,great product like focus sustained energy jitter split bottle test drink 1/2 morning 1/2 lunch caffeine need day,0.800000,0.750000
5,2018-10-21 07:01:18.452,0,True,great concert lose pair buy find pair jacket want concert usually ear start hurt hearing distort volume high cushion ear hear music perfectly,0.427500,0.635000
5,2020-02-09 16:38:33.212,0,True,steamer nice,0.600000,1.000000
5,2016-08-04 19:50:36.000,0,True,star love crystal disappoint purchase,0.500000,0.600000
5,2015-08-18 21:46:54.000,0,True,star work great hold lot pill,0.800000,0.750000
5,2021-02-11 15:55:43.032,0,True,impressed glass clear super easy use great value price highly suggest try,0.471111,0.695556
5,2019-09-29 04:30:30.979,0,True,effective stuff amazing remove mark wall door work,0.600000,0.850000
5,2020-06-23 18:41:12.167,0,True,good product seamoss try seamoss taste try good value money continue purchase product,0.700000,0.600000
5,2020-02-17 00:50:23.007,1,True,cute useful kit useful price,0.366667,0.333333
5,2016-05-08 21:01:48.000,2,True,definitely recommend vegan cruelty free great taste leave mouth clean tooth look great want try vegan/ cruelty free toothpaste absolute favorite stop cheap stumble target day accident think heck clearance try love time amazon bulk toothpaste fix,0.392424,0.690909
5,2016-08-03 17:53:52.000,0,True,work perfect hold watch place,1.000000,1.000000
3,2021-11-27 00:14:42.305,0,True,noticeable change plug week notice difference odor air freshness kinda feel like waste live old small home dog kid,-0.053409,0.275000
5,2019-09-02 18:06:51.421,0,True,accurate great,0.600000,0.691667
5,2016-12-25 19:36:50.000,1,True,great pack great pack kept gift fast free shipment bristle perfect hard soft price,0.429762,0.684524
5,2020-09-07 12:28:18.552,0,True,easy use easy use,0.433333,0.833333
5,2019-06-25 23:31:26.666,0,True,yum crash great vitamin gradual caffeine effect big bang like coffee general energy drink cherry fave kinda like tangy fruit punch flavor opinion normally like cherry!<br />blue rasp mild light flavor good,0.347619,0.542857
5,2014-07-28 04:09:55.000,0,True,like usually little pricey mind car long trip instead forget bring like usually,-0.162500,0.383333
3,2022-04-05 14:50:53.010,0,True,wife like hold temp little heat state description ok,0.156250,0.500000
4,2021-08-08 17:28:44.284,0,False,soft pliable earplugs foam earplug easy use expand inside ear rely exclusively loud sound like gun shot think fine car race probably nascar loud wear block sound try sleep ear right fully expand easily hear sound tell reduce loud sound regular foamy material lot ear plug come package pair plastic box total 12 pair,0.254932,0.562807
1,2017-12-27 00:48:34.102,1,True,soap leak rubber stopper ... work previous review positive try load handle soap lay sink come minute soap sink 5&#34 puddle husband try close rubber stopper way stop leak unfortunate handle nice useful soap,0.092121,0.542424
5,2019-06-14 23:35:47.332,1,True,fun toy kid know daughter friend fun playing sleep mask lead blindfold kind game sleep mask good quality money nose indent probably bit tall matter arrange long nose maybe problem,0.241667,0.450000
5,2013-07-09 23:01:17.000,3,True,good beauty device buy buy beauty device similar function beat hitachi device small handy fit perfectly small hand need paper mask face use mean continue watch tv read book use device need buy particular product pair device use skin care product massager function compare similar product love recommend friend,0.155417,0.512083
5,2016-02-07 19:14:29.000,2,True,moxycut toenail fingernail clippers good nail clipper use head heel 34;regular&#34 kind hefty strong cut right thick toenail work fingernail use use kind nail clipper nail look,0.386508,0.690675
4,2022-06-18 14:03:59.362,0,True,long original shaver purchase 12/1/2019 original head long advertise buy replacement 6/3/2021 start lose effectiveness noticeably long good shave look buy new soon price trivial,0.205195,0.536364
4,2017-05-04 18:45:33.000,0,True,work thing help relieve ... help heel support comfort work thing help relieve heel pain nice calf stretch,0.600000,1.000000
5,2020-12-01 15:09:35.713,0,True,easy insert like filter easy breathe attach mask add plus makeup wearer mask clear makeup residue,0.322222,0.683333
1,2020-01-21 17:02:59.597,0,True,damage garment remove lint left snag tear garment return lint remover loss 30 shirt,0.000000,0.000000
5,2016-06-21 03:41:29.000,0,True,toddler finally sleep night woohoo ... toddler finally sleep night woohoo love color light use essential oil help stay relaxed,0.180000,0.720000
5,2018-06-09 21:11:33.661,2,True,acne treatment use pure tea tree oil absolutely work great love smell mix pure organic jojoba oil double acne treatment use effective acne treatment complaint,0.278571,0.531250
5,2020-01-08 04:11:31.673,0,True,greasy residue love product sensitive skin,0.300000,0.750000
5,2014-08-03 11:44:18.000,0,True,bit work great allergy quick work pain killer bit work great allergy look ingredient,0.644444,0.666667
5,2022-05-02 21:42:10.677,0,True,base solid research chronic joint(s pain knee joint shoulder hip bursitis,-0.400000,0.550000
5,2016-11-18 17:39:23.000,1,True,great thermometer order couple thermometer family work great super easy use fast like old school thermometer forever good accurate reading compare thermometer read discrepancy note,0.470833,0.629167
4,2019-07-29 20:11:49.736,0,True,buy seat new chair buy seat connect cushion improved seat comfort like new expense chair supposedly ergonomic new chair raise chair quality 1000 wish soft sit definitely help align sit bone,0.101818,0.442727
5,2019-08-12 23:56:59.002,0,True,buy blend chunky huge plus great overall pre work powerful like pre work past perfect recommend friend family,0.375000,0.650000
5,2016-02-03 22:02:17.000,0,True,awesome year old work great year old son tough heel :'( chuck high :) feel great thank wear shoe problem brand new cause ache heel foot ouch :'( day long wish upload pic option smh,0.096456,0.677323
5,2018-02-22 15:14:07.749,0,True,star fit expect think sizing wrong,-0.050000,0.650000
5,2018-01-09 14:13:08.326,0,True,stars works wife like,0.000000,0.000000
4,2015-09-24 18:01:11.000,1,True,think cord place rear bright miss cord conveniently placed.<br />i use unit studio pose problem think cord place rear,0.700000,0.800000
5,2021-09-10 15:57:59.751,0,True,love add sea moss coffee shake ... superfood excellent product,0.750000,0.800000
1,2021-10-08 21:31:15.407,0,True,easy use save money crest white strips work work drink coffee red wine,0.144444,0.277778
5,2016-10-16 19:06:58.000,0,False,soft comfortable easy use comfortable fabric soft think hard easy like tighten loosen fit pain help lot shoulder place right shoulder upper pain severe shoulder brace help pain right shoulder blade help firmly place.<br /><br />like support find need thing like pain bay option combine waist trainer brace good,0.234341,0.536905
4,2019-10-03 12:23:13.622,0,True,good buy refreshing feeling remove makeup,0.600000,0.800000
5,2020-10-03 18:11:52.233,1,True,good product posture corrector work cause irritation pain material use time worth penny,0.500000,0.350000
5,2019-03-31 19:31:24.333,0,True,claire burke original home fragrance spray favorite love scent come year ago thrilled able buy bulk,0.495000,0.735000
1,2020-07-02 23:07:07.212,12,True,tiny tiny maybe couple load moldy laundry try wash item time expensive tiny bottle,-0.125000,0.550000
1,2019-10-10 16:37:31.673,2,False,hype comfortable comfortable try different type shoe feel relief try 60 day negative result hurt foot long walk alleviate pain believe scam waste money product,0.041667,0.500000
1,2015-07-14 20:56:57.000,2,True,omg waste omg waste look foraward chapstick cap come,-0.200000,0.000000
1,2021-01-06 20:11:18.572,0,True,leak polish open,0.000000,0.500000
1,2022-03-12 05:03:13.748,3,True,horrible bad sea moss order sea salt dry stiff pliable smell manufacture like bag package,-0.495238,0.691667
4,2020-02-08 05:21:11.075,15,False,vesitile adjustable soothe support hip sacroiliac pain truly impressed sui song sacroiliac support belt versatile adjustable support brace try year sport injury issue occur naturally age belt use comfort support number area low sciatic nerve hip injury include sacroiliac difficult area support velcro cover protective fleece strip sure remove think bad velcro lol yes minute discover manufacturer bother protect velcro overall quality excellent belt adjust find sweet spot soothe relief injury consider queen pain good support belt find far like highly recommend difficult treat area find good shoulder heaven!<br find review helpful moment click button let amazon know thank,0.247333,0.689704
3,2021-04-18 22:35:23.489,1,False,whoa salty compare elderberry emergen ec ingredient similar far sugar vit d3 125 50 mg elderberry 25 mg zinc(227 compare 10 mg ec vitamin low 270 mg 1000 mg ec like vit c. turmeric root extract 140 mg score salt 4th ingredient 23 daily sodium 29 chloride lot definitely taste it.<br /><br />you absolutely need mix 16ou water fizz stir mild citrus taste overall cup sport drink immunity drink think sweat hard like lineman football game prefer nacl work ingredient packaging look good,0.058333,0.467424
2,2015-06-25 13:33:20.000,0,True,poor material size tommy copper poor material size advertise,-0.400000,0.600000
5,2020-04-22 16:31:43.166,0,True,nice product easy use nice product easy use reader,0.516667,0.916667
3,2018-10-16 14:06:57.299,0,True,great okay ice pack hard freezer couple hour favorite,0.377083,0.697917
4,2015-12-23 14:27:14.000,0,True,like issue tmj try ... like issue tmj try mouth chin strap device snore simple way reduce snore know eliminate wife snore nearly loud know help snore heavy wake sore throat night fall occasion reason star wake find cover pillow,-0.033333,0.552381
5,2019-03-25 18:37:14.343,0,True,great cup perfect cup great quality,0.866667,0.833333
5,2017-06-25 00:40:32.102,0,True,star time release feel,0.000000,0.000000
5,2021-11-28 00:02:03.029,0,True,highly recommend buy help daughter dust allergy like appearance product white clean fancy wind speed adjust sleeping mode different timing feature lcd touch screen particularly design machine start slight sound sleep pattern affect sleep all.<br />a recommend,0.132381,0.391429
5,2018-04-28 18:29:04.479,0,True,find store excellent product pass,1.000000,1.000000
4,2021-02-07 03:25:33.050,0,True,good product handle long,0.325000,0.500000
5,2017-10-26 01:49:51.852,0,False,work great work expect fit size 12 shoe feel great foot hurt,0.666667,0.633333
5,2022-07-20 15:52:45.393,0,True,taste great love run year ago able locate excited amazon little want pay worth,0.381250,0.554167
3,2019-01-18 17:21:49.986,0,True,tiny toothbrush head come quickly tiny tiny head bristle expect big adult sized work spend fortune purchase,0.020000,0.380000
5,2020-01-16 13:22:37.992,0,True,delicious nice size great packaging candy good dark chocolate confection taste piece pretty nice size rich treat outside layer thick firm inside creamy love keto negative effect health packaging attractive send gift chocolate love friend love,0.354688,0.664062
5,2019-05-07 19:56:07.236,0,True,work describe happy tooth absolutely love moth use dentist regular cleaning spend half time visit cleaning cavity usually month find small ones.<br />very happy purchase buy,0.204762,0.499084
4,2015-12-04 19:54:31.000,2,True,praisetheprime like loofah good store buy holiday thankful amazon prime praisetheprime,0.700000,0.600000
3,2018-06-22 23:48:42.319,0,True,strap big kid work kid strap tighten child head,0.000000,0.100000
5,2019-07-20 04:44:17.872,0,True,perfect recommend feel good head tangle long hair,0.550000,0.666667
5,2020-10-31 17:32:52.096,0,True,good deal work fine,0.558333,0.550000
4,2016-12-14 19:16:18.000,0,True,star great product,0.800000,0.750000
2,2020-10-18 23:06:21.777,3,True,novelty item overall size decent use term silencer stretch like suppressor dampener maybe add foam insert help noise absoption yourself).<br /><br />you apart clean want time,0.177778,0.455556
